id,track,artist,uri
X001,Another Day,Jamie Lidell,spotify:track:1IvsDBc862D5BHiZX8cUjR
X002,The Mexican,Babe Ruth,spotify:track:0FFbJzXvag9ZRel7oNa1wU
X003,Got To Be Real,Cheryl Lynn,spotify:track:58r4JuwHhXLAkttkaUZfLw
X004,Who Is He And What Is He To You?,Creative Source,spotify:track:0tkau9E4HbqQLxYbEUM48l
X005,Right On For The Darkness,Curtis Mayfield,spotify:track:2qJU0ke5uc7SuvUvJ5ZcuV
X006,Change (Makes You Wanna Hustle),Donald Byrd,spotify:track:6rdqOrVDOSrTCuty0748AV
X007,Easter Parade,Ingrid,https://www.youtube.com/watch?v=eqoctmL6p78
X008,Blue On Blue,Gals And Pals,spotify:track:6enR0PItqkt6H3JIdvTw4n
X009,Give It Up Or Turn It Loose,James Brown,spotify:track:2XgOrUSylCh7Pk2Wc04QQK
X010,He's Gonna Step On You Again,John Kongos,https://open.spotify.com/track/02yBTutGSUlxGSj7AtOOvc?si=0407b3a8f33144f9
X011,Granny's Funky Rolls Royce,Junie,spotify:track:40yWCJ9ecQJw3cofanCbp7
X012,Jim On The Move,Lalo Schifrin,spotify:track:6tCfun3YF79eY9CcnGSCjY
X013,Sing Sing Sing,Michael Viner's Incredible Bongo Band,spotify:track:5G8vyFAumCJLIHVqcY2ylR
X014,Ma Quale Idea,Pino D'Angio,spotify:track:50f0mt35cIwwu3Krk7nS7b
X015,Sing A Simple Song,Please,https://open.spotify.com/track/3QbfWiLvHcAMYmdRPd9WnX?si=9d2e81977de8465a
X016,Rimshot (Intro),Erykah Badu,https://open.spotify.com/track/15QJXeFMsil7J8hHWaC8Ma?si=0db06876d61d4653
X017,Lonesome Cowboy,Roy Ayers,spotify:track:3OPUesxzVu9sew6pJDadql
X018,The Breakdown (Part 2),Rufus Thomas,spotify:track:5g6vCB435Kwx3tHfpvQrY2
X019,Sister Sanctified,Stanley Turrentine,spotify:track:07jMNIYpbA9lXEn8N9pTWw
X020,Different Strokes,Syl Johnson,spotify:track:5QC0qgroozRGGHAJuTsP4c
X021,"Lets Have Some Fun (12"" Version)",The Bar-Kays,spotify:track:5jq1fFuiKsgSzvHqosWiGo
X022,The Assembly Line,The Commodores,spotify:track:36zPU7Eewsao8qYV9do8b4
X023,Boogie Back,Wilson Pickett,https://open.spotify.com/track/7khETEkOwIV062HHvd9uom?si=1cfc59d7f40b4eda
X024,You Got Me Up,Jamie Lidell,spotify:track:3pja9Ar3fUUbnAw0W7Ou21
X025,Keep Your Distance,Babe Ruth,https://www.youtube.com/watch?v=zvQDqLNd_Vg
X026,Black Grass,Bad Bascomb,https://www.youtube.com/watch?v=XFcEBz_m4y0
X027,It's Ecstasy When You Lay Down Next To Me,Barry White,spotify:track:3QXNBUYJX2aekx6mHQ14GZ
X028,U.F.O.,ESG,spotify:track:1N6oLheDDCvbDIEjwcR8S4
X029,Hit And Miss,Bo Diddley,spotify:track:5UDtg2WX7lpwjQ6tswG5yk
X030,The Lovemaniacs (Sex),Boobie Knight,https://open.spotify.com/track/45waBVZaEqivtwuy6l4JJM?si=345e9455976a4ae5
X031,Theme From The Planets,Dexter Wansel,spotify:track:3cun7DzGeFGrJSgJgl5yQq
X032,Chinese Chicken,Duke Williams And The Extremes,https://open.spotify.com/track/0uBKQ0btVl63xx2XY7ncz9?si=ee6293a5c860404b
X033,From Here To Eternity,Engelbert Humperdinck,spotify:track:6TdPrK8PUwH66VxfC0BawQ
X034,Love Me or Leave Me,Nina Simone,spotify:track:2XzHou7MZzOBQBqjWw86Nt
X035,Whole Lotta Love,Ike & Tina Turner,spotify:track:0OO78obQJoBL8r1citCJax
X036,Willie Chase,J.J. Johnson,spotify:track:3cEeESslNx2W1gv8I5patU
X037,Country Cooking,Jim Dandy,https://open.spotify.com/track/6JPYgZhrxJ7nJuzox4zTp8?si=4818da1dc1864e9b
X038,Woman To Woman,Joe Cocker,spotify:track:0K3Dem9aRwRG9DVo0W2T3o
X039,I Walk On Guilded Splinters,Johnny Jenkins,spotify:track:4QZazZRZRj9NlJzdXgSv6W
X040,I Get Lifted,K.C. & The Sunshine Band,spotify:track:3ntu2NJd9xFN8lPXa9Gzh1
X041,Pot Belly,Lou Donaldson,spotify:track:4WW7qhQsCPD8tZsc3wRUPa
X042,Apache,Michael Viner's Incredible Bongo Band,spotify:track:0gA1W8D4UojVtfQ4eKvUtl
